Hinduism
Hindu
Buddhism
Buddhist
Christianity
Christian
Islam
Muslim
Shiite
Sunni
Catholicism
Catholic
Protestant
Orthodox
Judaism
Sikhism
Taoism
Taoist
Shinto
Confucianism
Zoroastrianism
