Αγάθη
Αγαθή
Αγαθονίκη
Αγαύη
Αγγέλα
Αγγέλικα
Αγγελίκα
Αγγελική
Αγγελίνα
Αγγέλω
Αγιούλα
Αγλαΐα
Αγνή
Αγνοδίκη
Αγορίτσα
Αγόρω
Αγριππίνα
Αδαμαντία
Αδρήστη
Αδριανή
Αθανασία
Αθηνά
Αθηναΐς
Αίγλη
Αίθρα
Αικατερίνη
Αιμιλία
Ακαθή
Ακριβή
Αλέκα
Αλεξάνδρα
Αλέξια
Αλεξία
Αλίκη
Αλίνα
Άλκηστις
Αλκινόη
Αλκμήνη
Αλκυόνη
Αμαλία
Αμάντα
Αμαρυλλίς
Αμυγδαλιά
Αμφιτρίτη
Αναΐς
Ανάργυρη
Αναστασία
Ανδριάνα
Ανδριανή
Ανδρομάχη
Ανδρονίκη
Ανθή
Ανθήκλεια
Ανθημίτσα
Ανθία
Ανθούλα
Ανθούσα
Άννα
Ανναμπέλλα
Αννέτα
Αννίτα
Αννιώ
Αννούλα
Άννυ
Άντα
Άντζελα
Αντιγόνη
Αντιμάχη
Αντιόπη
Άντρια
Αντριάνα
Αντρούλα
Αντωνία
Ανυσία
Απολλωνία
Αποστολία
Αργέντω
Αργυρή
Αργυρία
Αργυρούλα
Αργύρω
Αργυρώ
Αρετή
Αρετούσα
Αριάδνη
Αριάνα
Αριστέα
Αρίστη
Αριστονίκη
Αριστούλα
Αρκαδία
Αρμονία
Αρριανή
Αρριέτα
Αρσενία
Αρσινόη
Άρτεμη
Άρτεμις
Αρτεμισία
Αρχοντία
Αρχοντούλα
Αρχόντω
Ασημένια
Ασημίνα
Ασημούλα
Ασήμω
Ασημώνη
Ασπασία
Αστερόπη
Αστέρω
Αστραδενή
Αστρούλα
Αταλάντη
Ατζουλέτα
Ατθίς
Αυγή
Αυγούλα
Αυγούστα
Αυγουστία
Αυγουστίνη
Αυξεντία
Αύρα
Αυρηλία
Αφεντία
Αφεντούλα
Αφθονία
Αφροδίτη
Αφροξυλάνθη
Βαγγελίτσα
Βαγγελιώ
Βαγγέλω
Βάγια
Βάια
Βαΐα
Βαΐτσα
Βαλάντω
Βαλασία
Βαλεντίνα
Βαλεντίνη
Βαλέρια
Βάλια
Βανέσσα
Βαρβάρα
Βαρβαρούλα
Βαρσαμία
Βάσια
Βασιλεία
Βασιλειάννα
Βασιλένα
Βασιλική
Βασιλικούλα
Βασιλού
Βασίλω
Βασούλα
Βάσω
Βελισσαρία
Βενεδίκτη
Βενεδικτίνη
Βενετία
Βενίτα
Βέρα
Βερενίκη
Βερόνικα
