93,10
355,8|9
213,8|9
376,6|9
244,9
54,10
374,8
297,7
61,9
43,4-13
994,9
973,8
880,10
375,9
32,8|9
501,7
229,8
975,7
591,8
387,8
267,7|8
55,10|11
673,7
359,7-9
226,8
257,8
855,9|10
237,9
238,7
236,8
235,8
56,9
86,10|11
57,8|10
242,9
682,5
506,8
385,8|9
53,6-8
357,8
420,9
45,8
246,7
253,8
593,8|9
20,10
503,8
240,9
291,7
372,7|8
251,9
500,5
679,7
358,5-12
33,8|9
594,9
241,7
220,7
995,9
49,5-12
233,9
350,8
30,10
299,6
502,8
224,8
245,7
592,7
509,8
504,8
852,8
36,8|9
354,7|9
91,8-10
62,9|11
98,10
964,7|8|10
353,7-10
972,8|9
39,6-10
225,8
81,10
962,8|9
254,6-9
686,5
82,8
850,8|10
965,7
996,9
371,8
856,8
961,7|8
266,8
231,7|8
370,8
218,8|9
423,7-12
352,6-9
853,8
389,8
261,9
265,7|9
60,8|9
960,7
223,8
356,8
692,7
596,9
222,8
230,7|8
52,10
691,7
373,8
976,8
382,8
212,9
258,8|9
95,8-11
264,8|9
674,7
977,8
31,9
599,7
687,6
64,8-10
505,8
227,8
234,7|8|10
683,4
47,8
968,8
92,11
970,8|9
680,7
507,7|8
675,7
595,8|9
51,8|9
63,9-11
48,9
351,9
974,8
40,9
7,10
262,9
250,9
378,10
239,7
966,10
221,9
381,8|9
248,7
232,8
65,8|9
421,9
386,8
677,5
252,7
27,9
34,9
94,10
290,5
508,6
249,9
597,6
268,8
46,6-9
41,9
963,8|9
886,5-8
255,9
66,8|9
228,8
690,4
676,5
216,8
90,10
993,8
688,5
256,9
380,9
971,8|9
44,9|10
598,8
1,10
998,9
678,5
379,6-10
58,10
84,9|10
681,6
685,5
967,7-9
260,9
263,5-10
